Scaffold,coverage,gc,genus,length
sg4i_contig10838,25.0,0.690522243713733,not assigned,517
sg4i_contig05627,2.3,0.610236220472441,not assigned,508
sg4i_contig14600,2.2,0.678714859437751,not assigned,498
sg4i_contig15419,2.7,0.5551020408163265,not assigned,490
sg4i_contig07765,2.2,0.5941422594142259,not assigned,478
sg4i_contig03265,2.6,0.5509761388286334,not assigned,461
sg4i_contig04785,2.0,0.7297297297297297,not assigned,407
sg4i_contig08505,2.5,0.6772151898734177,not assigned,316
sg4i_contig08185,1.0,0.6936936936936937,not assigned,222
sg4i_contig12564,1.2,0.6641221374045801,not assigned,131
sg4i_contig00024,46.2,0.657765284609979,not assigned,1423
sg4i_contig00723,6.7,0.6777457714749981,sphaerobacter,13539
sg4i_contig01335,4.0,0.598114824335904,not assigned,2334
sg4i_contig02042,5.1,0.7035390665070952,patulibacter,5849
sg4i_contig02769,4.5,0.6280487804878049,thermobacillus,3444
sg4i_contig03511,2.8,0.7606779661016949,not assigned,1475
sg4i_contig04710,3.8,0.686060606060606,gemmatimonas,1650
sg4i_contig07372,3.3,0.6675627240143369,not assigned,1116
sg4i_contig10718,4.0,0.48381877022653724,not assigned,1236
sg4i_contig12054,59.9,0.6143687268885367,rhodothermus,1893
sg4i_contig13129,5.1,0.6307629538963688,not assigned,2451
sg4i_contig14576,4.8,0.6222222222222222,hyphomicrobium,5175
sg4i_contig16425,43.3,0.6758241758241759,thermus,1820
sg4i_contig17924,11.6,0.6512359550561798,rhodothermus,2225
sg4i_contig18608,5.5,0.6455026455026455,not assigned,8883
sg4i_contig19108,5.8,0.6486938349007314,not assigned,4785
sg4i_contig19608,69.0,0.6997552352461246,thermus,3677
sg4i_contig20108,88.8,0.676040061633282,thermus,2596
sg4i_contig20608,31.3,0.6977900552486188,thermus,1810
sg4i_contig02597,3.9,0.6842639593908629,not assigned,985
sg4i_contig02158,4.1,0.6820175438596491,not assigned,912
sg4i_contig05038,2.9,0.6592505854800936,not assigned,854
sg4i_contig07264,2.1,0.4993726474278545,not assigned,797
sg4i_contig10226,3.3,0.6662216288384513,not assigned,749
sg4i_contig15558,33.7,0.5912305516265912,hyphomicrobium,707
sg4i_contig06848,3.2,0.5915915915915916,not assigned,666
sg4i_contig06745,5.0,0.7106518282988871,not assigned,629
sg4i_contig14684,3.3,0.697986577181208,not assigned,596
sg4i_contig04737,3.2,0.6042402826855123,not assigned,566
sg4i_contig06452,2.0,0.6477064220183486,not assigned,545
sg4i_contig05583,2.3,0.5765595463137996,not assigned,529
sg4i_contig06362,2.9,0.5493230174081238,not assigned,517
sg4i_contig08050,4.3,0.6646942800788954,not assigned,507
sg4i_contig04970,4.4,0.6686746987951807,not assigned,498
sg4i_contig16370,2.5,0.6830265848670757,not assigned,489
sg4i_contig15361,2.4,0.5648535564853556,not assigned,478
sg4i_contig03890,1.0,0.5986984815618221,not assigned,461
sg4i_contig12292,5.0,0.645320197044335,not assigned,406
sg4i_contig09459,2.6,0.7484076433121019,not assigned,314
sg4i_contig11099,2.0,0.5429864253393665,not assigned,221
sg4i_contig16241,1.3,0.6589147286821705,not assigned,129
sg4i_contig00217,55.6,0.6413662239089184,not assigned,1581
sg4i_contig00832,4.9,0.7043402272065249,patulibacter,3433
sg4i_contig01457,2.9,0.6928886091881686,not assigned,1589
sg4i_contig02154,5.1,0.6664116296863045,not assigned,2614
sg4i_contig02909,4.7,0.6593863754550182,not assigned,1923
sg4i_contig03668,3.9,0.6596583442838371,not assigned,1522
sg4i_contig05130,3.3,0.7229119638826185,conexibacter,1772
sg4i_contig07998,3.8,0.6575438596491228,not assigned,2850
sg4i_contig10901,7.9,0.6396851975887475,not assigned,29860
sg4i_contig12309,11.2,0.5729722144260455,not assigned,7126
sg4i_contig13292,4.2,0.6760154738878144,sphaerobacter,2068
sg4i_contig14887,3.0,0.6176470588235294,not assigned,1530
sg4i_contig16747,12.2,0.598090545118571,hyphomicrobium,9741
sg4i_contig18198,26.9,0.6183958106496604,paenibacillus,115722
sg4i_contig18698,10.8,0.6459112773917691,not assigned,7484
sg4i_contig19198,66.7,0.6396048109965635,not assigned,4656
sg4i_contig19698,6.9,0.5823170731707317,not assigned,2952
sg4i_contig20198,85.3,0.6796570537802027,thermus,2566
sg4i_contig20698,47.1,0.6538461538461539,not assigned,1482
sg4i_contig13486,4.7,0.7298969072164948,not assigned,970
sg4i_contig02678,2.8,0.7139689578713969,not assigned,902
sg4i_contig04969,3.2,0.5463182897862233,not assigned,842
sg4i_contig14527,3.7,0.6480304955527318,not assigned,787
sg4i_contig03467,1.6,0.5080862533692723,not assigned,742
sg4i_contig15329,2.9,0.6728571428571428,sphaerobacter,700
sg4i_contig09458,4.4,0.7340425531914894,not assigned,658
sg4i_contig15056,2.9,0.6565008025682183,not assigned,623
sg4i_contig06909,3.4,0.6162988115449916,not assigned,589
sg4i_contig09768,3.3,0.7064056939501779,not assigned,562
sg4i_contig09052,3.1,0.6236162361623616,not assigned,542
sg4i_contig08021,2.8,0.603415559772296,not assigned,527
sg4i_contig10109,2.5,0.6271844660194175,not assigned,515
sg4i_contig09350,3.6,0.49209486166007904,not assigned,506
sg4i_contig08358,2.1,0.4949698189134809,not assigned,497
sg4i_contig06353,2.8,0.764344262295082,not assigned,488
sg4i_contig15150,2.0,0.7726315789473684,not assigned,475
sg4i_contig11513,16.6,0.6951754385964912,not assigned,456
sg4i_contig00646,1.3,0.6932989690721649,not assigned,388
sg4i_contig16452,3.9,0.5134228187919463,not assigned,298
sg4i_contig12107,1.1,0.6829268292682927,not assigned,205
sg4i_contig12945,1.0,0.6982758620689655,not assigned,116
sg4i_contig00218,64.2,0.6436263096623981,not assigned,6872
sg4i_contig00833,6.3,0.5843170320404721,not assigned,1186
sg4i_contig01459,2.3,0.60294703305456,not assigned,2511
sg4i_contig02155,4.3,0.6688604087287842,not assigned,2887
sg4i_contig02912,6.4,0.642901813633521,thermomicrobium,3198
sg4i_contig03670,4.6,0.6095569070373588,not assigned,5755
sg4i_contig05136,3.8,0.6095089633671084,caldalkalibacillus,1283
sg4i_contig08010,5.2,0.6918669821895629,patulibacter,8029
sg4i_contig10904,6.6,0.6491120636864667,thermomicrobium,19596
sg4i_contig12310,74.3,0.6788413098236776,not assigned,1588
sg4i_contig13294,3.4,0.6310181531176007,conexibacter,2534
sg4i_contig14888,3.3,0.5857740585774058,not assigned,1195
sg4i_contig16751,59.2,0.7021455616323097,thermus,2377
sg4i_contig18199,25.8,0.6320931262073406,thermobacillus,99392
sg4i_contig18699,5.1,0.6136363636363636,hyphomicrobium,8008
sg4i_contig19199,30.5,0.6292834890965732,thermus,4815
sg4i_contig19699,78.8,0.6854265402843602,thermus,3376
sg4i_contig20199,48.8,0.6721242653232578,thermus,2382
sg4i_contig20699,28.5,0.5545722713864307,not assigned,1695
sg4i_contig15534,2.6,0.7247422680412371,conexibacter,970
sg4i_contig09449,2.5,0.7436182019977803,not assigned,901
sg4i_contig03684,2.6,0.7007125890736342,not assigned,842
sg4i_contig05026,2.5,0.6416772554002541,not assigned,787
sg4i_contig12823,2.9,0.7008086253369272,not assigned,742
sg4i_contig03283,1.4,0.7,not assigned,700
sg4i_contig15086,4.6,0.5303951367781155,not assigned,658
sg4i_contig09781,2.6,0.6420545746388443,not assigned,623
sg4i_contig09111,2.2,0.6502546689303905,not assigned,589
sg4i_contig13274,3.0,0.679144385026738,not assigned,561
sg4i_contig04832,2.9,0.7250922509225092,not assigned,542
sg4i_contig03615,1.3,0.7077798861480076,not assigned,527
sg4i_contig09043,2.7,0.574757281553398,not assigned,515
sg4i_contig07721,2.1,0.575098814229249,not assigned,506
sg4i_contig08675,3.0,0.738430583501006,not assigned,497
sg4i_contig09461,2.1,0.7008196721311475,not assigned,488
sg4i_contig14295,3.7,0.7452631578947368,not assigned,475
sg4i_contig10003,2.2,0.6885964912280702,not assigned,456
sg4i_contig10928,1.2,0.6288659793814433,not assigned,388
sg4i_contig12021,6.2,0.6879194630872483,not assigned,298
sg4i_contig17855,1.0,0.697560975609756,not assigned,205
sg4i_contig11656,3.1,0.7586206896551724,not assigned,116
sg4i_contig00222,66.4,0.5996797437950361,not assigned,2498
sg4i_contig00834,6.7,0.6529842931937173,not assigned,4775
sg4i_contig01464,2.2,0.648528099910794,hyphomicrobium,1121
sg4i_contig02156,2.6,0.6523722627737226,not assigned,2192
sg4i_contig02913,3.7,0.6571428571428571,not assigned,3465
sg4i_contig03671,3.5,0.7129337539432177,not assigned,1268
sg4i_contig05137,5.4,0.7260061919504643,not assigned,1938
sg4i_contig08011,3.2,0.5809352517985612,not assigned,1112
sg4i_contig10907,6.8,0.6867873910127431,not assigned,2982
sg4i_contig12313,72.9,0.6566085847853803,rhodothermus,2353
sg4i_contig13296,6.0,0.6847748391708363,sphaerobacter,2798
sg4i_contig14894,6.3,0.6293027360988526,not assigned,4532
sg4i_contig16764,61.4,0.681740614334471,thermus,1172
sg4i_contig18200,25.9,0.6347415242077645,not assigned,97572
sg4i_contig18700,6.5,0.6865421764327109,not assigned,7765
sg4i_contig19200,9.9,0.6356756756756756,rhodothermus,4625
sg4i_contig19700,5.1,0.6236376021798365,hyphomicrobium,2936
sg4i_contig20200,68.2,0.6644844517184942,not assigned,2444
sg4i_contig20700,40.6,0.7269874476987448,not assigned,1912
sg4i_contig04920,23.8,0.7381443298969073,not assigned,970
sg4i_contig04449,4.4,0.7225305216426193,conexibacter,901
sg4i_contig15282,1.9,0.7042755344418052,not assigned,842
sg4i_contig15281,1.9,0.6213468869123253,not assigned,787
sg4i_contig15690,4.4,0.5080862533692723,not assigned,742
sg4i_contig00185,34.6,0.6042857142857143,not assigned,700
sg4i_contig10539,2.4,0.6732522796352584,not assigned,658
sg4i_contig09487,1.7,0.6532905296950241,not assigned,623
sg4i_contig06963,2.9,0.6791171477079796,not assigned,589
sg4i_contig05501,2.1,0.6541889483065954,not assigned,561
sg4i_contig07305,2.3,0.6070110701107011,not assigned,542
sg4i_contig06710,3.5,0.715370018975332,gemmatimonas,527
sg4i_contig13986,2.5,0.5592233009708738,not assigned,515
sg4i_contig02035,2.3,0.5869565217391305,not assigned,506
sg4i_contig08919,3.1,0.6941649899396378,not assigned,497
sg4i_contig07289,2.8,0.6065573770491803,not assigned,488
sg4i_contig15598,2.1,0.6884210526315789,not assigned,475
sg4i_contig14440,2.7,0.581140350877193,not assigned,456
sg4i_contig16684,8.5,0.6494845360824743,not assigned,388
sg4i_contig09231,12.3,0.6543624161073825,not assigned,298
sg4i_contig15354,3.9,0.6682926829268293,not assigned,205
sg4i_contig16173,2.0,0.7068965517241379,not assigned,116
sg4i_contig00229,7.0,0.6365415357477537,thermomicrobium,36282
sg4i_contig00835,7.4,0.6238716148445336,paenibacillus,8973
sg4i_contig01465,4.1,0.6391798529084021,rhodothermus,4487
sg4i_contig02165,4.1,0.5161483253588517,not assigned,1672
sg4i_contig02915,4.1,0.7417475728155339,not assigned,1030
sg4i_contig03674,2.8,0.5117647058823529,not assigned,1020
sg4i_contig05138,2.6,0.7046580773042617,not assigned,1009
sg4i_contig08023,7.1,0.6426909244764121,not assigned,4727
sg4i_contig10908,7.0,0.621413390010627,not assigned,3764
sg4i_contig12315,66.7,0.5981543624161074,not assigned,1192
sg4i_contig13298,2.9,0.5341789992952783,not assigned,1419
sg4i_contig14897,2.8,0.6413690476190477,not assigned,1344
sg4i_contig16768,40.5,0.669621273166801,not assigned,1241
sg4i_contig18201,9.0,0.4758368758086085,thermobaculum,91979
sg4i_contig18701,6.8,0.6472722560580536,thermomicrobium,7717
sg4i_contig19201,11.1,0.6243535496003761,rhodothermus,4254
sg4i_contig19701,9.2,0.6505178750417642,rhodothermus,2993
sg4i_contig20201,9.0,0.6567291311754685,rhodothermus,2348
sg4i_contig20701,70.3,0.687801516195727,thermus,1451
sg4i_contig06930,3.9,0.7412371134020619,not assigned,970
sg4i_contig01458,2.2,0.5449500554938956,not assigned,901
sg4i_contig02613,1.3,0.7280285035629454,not assigned,842
sg4i_contig05624,2.9,0.7331639135959339,conexibacter,787
sg4i_contig03638,1.8,0.6159029649595688,not assigned,742
sg4i_contig06237,2.7,0.7042857142857143,not assigned,700
sg4i_contig05474,3.3,0.7142857142857143,not assigned,658
sg4i_contig15966,11.5,0.7174959871589085,not assigned,623
sg4i_contig06639,2.2,0.66723259762309,not assigned,589
sg4i_contig09074,2.7,0.5704099821746881,not assigned,561
sg4i_contig14332,1.9,0.6420664206642066,not assigned,542
sg4i_contig06722,4.3,0.5180265654648957,not assigned,527
sg4i_contig13981,2.8,0.7689320388349514,not assigned,515
sg4i_contig07461,2.1,0.6146245059288538,not assigned,506
sg4i_contig06942,3.1,0.6539235412474849,not assigned,497
sg4i_contig06835,2.0,0.6434426229508197,not assigned,488
sg4i_contig15841,2.5,0.5431578947368421,not assigned,475
sg4i_contig14434,2.1,0.6096491228070176,not assigned,456
sg4i_contig17099,6.7,0.6932989690721649,not assigned,388
sg4i_contig16818,2.0,0.7281879194630873,not assigned,298
sg4i_contig10467,3.8,0.6372549019607843,not assigned,204
sg4i_contig14459,1.7,0.7155172413793104,not assigned,116
sg4i_contig00230,6.8,0.6627265563435776,not assigned,1269
sg4i_contig00836,3.4,0.5438677078548462,not assigned,2177
sg4i_contig01466,3.5,0.5950102529049898,not assigned,2926
sg4i_contig02166,4.6,0.6725082146768894,not assigned,2739
sg4i_contig02919,2.2,0.6175462645647704,conexibacter,1459
sg4i_contig03676,4.0,0.5944391179290508,not assigned,1043
sg4i_contig05140,4.2,0.7407736771898622,conexibacter,2249
sg4i_contig08024,3.9,0.728125,not assigned,1280
sg4i_contig10912,20.4,0.6518082422203533,not assigned,1189
sg4i_contig12317,6.3,0.6770186335403726,not assigned,1127
sg4i_contig13299,2.9,0.7179144385026738,gemmatimonas,1496
sg4i_contig14898,3.4,0.7022961203483769,not assigned,1263
sg4i_contig16775,13.0,0.6726333907056798,thermus,2905
sg4i_contig18202,9.1,0.456443190956766,thermobaculum,88287
sg4i_contig18702,14.7,0.6316418703506907,thermus,7528
sg4i_contig19202,74.9,0.6291109696583916,rhodothermus,4713
sg4i_contig19702,70.7,0.7207514944491887,thermus,3513
sg4i_contig20202,58.3,0.6755741127348643,rhodothermus,2395
sg4i_contig20702,63.2,0.7067620286085826,not assigned,1538
sg4i_contig03013,1.7,0.5804123711340207,not assigned,970
sg4i_contig05819,5.0,0.6514983351831298,not assigned,901
sg4i_contig03418,4.3,0.7074910820451843,not assigned,841
sg4i_contig04294,4.0,0.7445997458703939,not assigned,787
sg4i_contig16033,26.7,0.7183288409703504,not assigned,742
sg4i_contig13540,2.7,0.6085714285714285,not assigned,700
sg4i_contig09193,2.6,0.7203647416413373,not assigned,658
sg4i_contig14556,1.9,0.6147672552166934,not assigned,623
sg4i_contig05970,3.2,0.5755517826825127,not assigned,589
sg4i_contig04160,2.9,0.5508021390374331,not assigned,561
sg4i_contig06401,2.4,0.6549815498154982,not assigned,542
sg4i_contig14317,5.9,0.5768500948766604,not assigned,527
sg4i_contig13976,1.5,0.654368932038835,not assigned,515
sg4i_contig08610,2.4,0.6442687747035574,not assigned,506
sg4i_contig07979,4.6,0.7605633802816901,not assigned,497
sg4i_contig16753,7.5,0.7028688524590164,thermus,488
sg4i_contig15471,2.3,0.6105263157894737,not assigned,475
sg4i_contig16222,2.9,0.6008771929824561,not assigned,456
sg4i_contig15745,5.5,0.6623711340206185,not assigned,388
sg4i_contig17467,6.4,0.6409395973154363,not assigned,298
sg4i_contig00028,1.5,0.6813725490196079,not assigned,204
sg4i_contig12052,1.4,0.7478260869565218,not assigned,115
sg4i_contig00232,25.8,0.6499808647096444,not assigned,389333
sg4i_contig00837,6.5,0.6561822125813449,not assigned,11064
sg4i_contig01467,6.6,0.6418161434977578,not assigned,1784
sg4i_contig02167,3.7,0.6900042176296921,not assigned,2371
sg4i_contig02920,4.7,0.6951247425040055,conexibacter,4369
sg4i_contig03677,3.6,0.7299088649544325,not assigned,1207
sg4i_contig05142,2.2,0.6248785228377065,not assigned,1029
sg4i_contig08027,2.9,0.7020648967551623,not assigned,1695
sg4i_contig10913,4.3,0.6815193571950329,not assigned,1369
sg4i_contig12319,4.0,0.5766609880749574,not assigned,1174
sg4i_contig13301,3.0,0.7294220665499125,not assigned,1142
sg4i_contig14904,32.5,0.7148922601866148,gemmatimonas,59588
sg4i_contig16778,74.1,0.6710526315789473,thermus,1672
sg4i_contig18203,35.6,0.7098637773681608,gemmatimonas,88972
sg4i_contig18703,3.2,0.6008836524300442,not assigned,7469
sg4i_contig19203,61.4,0.5178157284419144,not assigned,4743
sg4i_contig19703,78.2,0.7019810508182601,thermus,3483
sg4i_contig20203,71.6,0.6643241008681273,rhodothermus,2419
sg4i_contig20703,49.9,0.7084257206208425,not assigned,1804
sg4i_contig17735,4.4,0.6762886597938145,not assigned,970
sg4i_contig06648,2.1,0.7069922308546059,not assigned,901
sg4i_contig13132,1.7,0.6206896551724138,not assigned,841
sg4i_contig16974,21.1,0.6302414231257941,not assigned,787
sg4i_contig01948,2.3,0.6307277628032345,not assigned,742
sg4i_contig16184,26.4,0.73,not assigned,700
sg4i_contig02606,3.2,0.682370820668693,not assigned,658
sg4i_contig16523,29.1,0.7142857142857143,not assigned,623
sg4i_contig05355,2.8,0.6247877758913413,not assigned,589
sg4i_contig13653,2.9,0.6399286987522281,not assigned,561
sg4i_contig11329,17.2,0.6900369003690037,not assigned,542
sg4i_contig15099,2.4,0.7362428842504743,not assigned,527
sg4i_contig06606,2.8,0.5864077669902913,not assigned,515
sg4i_contig14499,2.2,0.7075098814229249,not assigned,506
sg4i_contig09237,6.1,0.6519114688128773,not assigned,497
sg4i_contig07899,2.8,0.6885245901639344,not assigned,488
sg4i_contig04822,2.1,0.6484210526315789,not assigned,475
sg4i_contig08956,2.3,0.6228070175438597,not assigned,456
sg4i_contig13118,2.0,0.7216494845360825,not assigned,388
sg4i_contig11628,2.4,0.6936026936026936,not assigned,297
sg4i_contig01818,1.0,0.6862745098039216,not assigned,204
sg4i_contig11010,2.9,0.7043478260869566,not assigned,115
sg4i_contig00235,5.4,0.6500579374275782,not assigned,3452
sg4i_contig00838,3.8,0.6453569762015866,not assigned,2143
sg4i_contig01469,2.9,0.6253369272237197,not assigned,1113
sg4i_contig02171,5.8,0.5720524017467249,not assigned,1374
sg4i_contig02921,3.2,0.6877807726864331,gemmatimonas,2226
sg4i_contig03682,3.7,0.7072704081632653,not assigned,1568
sg4i_contig05147,2.9,0.7102315160567588,not assigned,1339
sg4i_contig08031,2.6,0.631578947368421,not assigned,1045
sg4i_contig10916,7.0,0.6499437570303712,thermomicrobium,4445
sg4i_contig12321,3.9,0.7022238974745572,gemmatimonas,2653
sg4i_contig13302,6.9,0.6749391727493917,gemmatimonas,2055
sg4i_contig14906,5.0,0.6321446018563752,not assigned,2047
sg4i_contig16791,32.1,0.6960461285008237,thermus,1214
sg4i_contig18204,26.1,0.6245513941290144,not assigned,86936
sg4i_contig18704,79.8,0.7071052631578948,thermus,7600
sg4i_contig19204,6.2,0.6896551724137931,sphaerobacter,4524
sg4i_contig19704,94.1,0.675904317386231,thermus,3428
sg4i_contig20204,63.9,0.676948728636932,not assigned,2399
sg4i_contig20704,19.7,0.6937598321971683,thermus,1907
sg4i_contig10867,3.2,0.7048503611971104,not assigned,969
sg4i_contig06063,3.0,0.7635960044395117,not assigned,901
sg4i_contig13579,4.1,0.72294887039239,not assigned,841
sg4i_contig09315,2.5,0.6048284625158831,hyphomicrobium,787
sg4i_contig17056,11.5,0.6585695006747638,thermus,741
sg4i_contig01517,2.0,0.74,not assigned,700
sg4i_contig14021,3.1,0.6337386018237082,not assigned,658
sg4i_contig04364,2.3,0.6773675762439807,not assigned,623
sg4i_contig14506,2.8,0.629881154499151,not assigned,589
sg4i_contig03432,1.4,0.6666666666666666,not assigned,561
sg4i_contig04782,2.7,0.5571955719557196,not assigned,542
sg4i_contig05229,2.8,0.5768500948766604,not assigned,527
sg4i_contig07514,2.3,0.6116504854368932,not assigned,515
sg4i_contig15421,2.1,0.6442687747035574,not assigned,506
sg4i_contig04581,3.7,0.6740442655935613,not assigned,497
sg4i_contig05951,2.0,0.6864754098360656,not assigned,488
sg4i_contig15288,2.7,0.7557894736842106,not assigned,475
sg4i_contig06875,2.5,0.6557017543859649,sphaerobacter,456
sg4i_contig12192,4.4,0.6804123711340206,not assigned,388
sg4i_contig02163,1.0,0.6296296296296297,not assigned,297
sg4i_contig01726,1.0,0.5862068965517241,not assigned,203
sg4i_contig16010,9.1,0.5130434782608696,not assigned,115
sg4i_contig00236,4.7,0.5715617715617716,not assigned,4290
sg4i_contig00842,7.9,0.6561338289962825,not assigned,1076
sg4i_contig01470,4.8,0.5920889987639061,caldalkalibacillus,3236
sg4i_contig02172,3.7,0.6260504201680672,not assigned,1904
sg4i_contig02922,3.0,0.6578947368421053,patulibacter,1862
sg4i_contig03683,3.8,0.6924493554327809,patulibacter,1086
sg4i_contig05151,3.5,0.742409402546523,not assigned,1021
sg4i_contig08052,8.3,0.638801261829653,rhodothermus,1902
sg4i_contig10917,4.3,0.6410093635930805,not assigned,6301
sg4i_contig12325,8.3,0.6468797564687976,not assigned,1314
sg4i_contig13304,11.9,0.6597053022392388,thermus,8619
sg4i_contig14907,3.6,0.6011310084825636,hyphomicrobium,5305
sg4i_contig16793,29.5,0.6961620469083155,thermus,1876
sg4i_contig18205,27.6,0.6031139098328334,caldalkalibacillus,83689
sg4i_contig18705,83.4,0.703480764197854,thermus,7642
sg4i_contig19205,7.1,0.6361510791366907,thermomicrobium,5560
sg4i_contig19705,7.8,0.6490732013823437,not assigned,3183
sg4i_contig20205,67.2,0.6861974046401887,thermus,2543
sg4i_contig20705,59.8,0.6538461538461539,not assigned,1456
sg4i_contig00989,4.6,0.7192982456140351,not assigned,969
sg4i_contig05003,3.3,0.7225305216426193,not assigned,901
sg4i_contig04881,4.0,0.751486325802616,not assigned,841
sg4i_contig09504,2.2,0.6429479034307497,not assigned,787
sg4i_contig12016,35.0,0.7462887989203779,not assigned,741
sg4i_contig09739,3.3,0.58,not assigned,700
sg4i_contig00387,5.4,0.6316590563165906,not assigned,657
sg4i_contig07228,3.3,0.7399678972712681,not assigned,623
sg4i_contig05371,3.1,0.6451612903225806,not assigned,589
sg4i_contig06543,3.3,0.7736185383244206,not assigned,561
sg4i_contig06987,2.5,0.5811808118081181,not assigned,542
sg4i_contig12975,1.3,0.6755218216318786,not assigned,527
sg4i_contig08099,2.2,0.6621359223300971,not assigned,515
sg4i_contig09175,3.1,0.6304347826086957,not assigned,506
sg4i_contig13955,2.2,0.6975806451612904,not assigned,496
sg4i_contig13011,1.6,0.5020491803278688,not assigned,488
sg4i_contig08775,3.0,0.6968421052631579,not assigned,475
sg4i_contig14912,2.7,0.7017543859649122,not assigned,456
sg4i_contig12548,4.4,0.7036082474226805,not assigned,388
sg4i_contig11368,1.0,0.622895622895623,not assigned,297
sg4i_contig11446,1.3,0.6847290640394089,not assigned,203
sg4i_contig16098,1.5,0.48695652173913045,not assigned,115
sg4i_contig00238,43.1,0.5998043052837574,not assigned,1022
sg4i_contig00844,5.4,0.6842374616171955,not assigned,1954
sg4i_contig01471,5.0,0.6844557390936044,gemmatimonas,2361
